lat,lon,severity
51.5399,-0.0967,2
51.5054,-0.0754,2
51.4452,-0.3312,2
51.4365,-0.1046,20
51.4279,-0.2755,20
51.4715,-0.2113,2
51.4374,-0.4256,2
51.5262,-0.0299,24
51.3747,0.0449,2
51.486,0.0138,4
51.5403,-0.3173,2
51.4547,-0.1492,2
51.4268,-0.1693,2
51.4119,-0.3023,20
51.4786,-0.1685,2
51.515,-0.0727,4
51.4754,-0.3955,20
51.4651,-0.2482,2
51.5068,-0.1285,20
51.4815,-0.0265,2
51.5664,0.1454,2
51.4137,-0.2045,20
51.4213,-0.2529,2
51.4542,-0.12,2
51.5251,-0.0347,20
51.4831,-0.2157,2
51.4058,-0.1528,2
51.5611,-0.124,4
51.4634,-0.2299,2
51.6056,-0.2565,2
51.573,-0.0973,2
51.4846,0.0033,2
51.531,-0.0695,4
51.4937,0.0629,2
51.4493,0.0129,2
51.5192,-0.1445,2
51.4927,-0.2669,4
51.5242,-0.095,2
51.6038,-0.2573,20
51.5664,0.1106,2
51.428,-0.0858,20
51.5711,0.0836,2
51.43,-0.4017,2
51.4246,-0.2092,2
51.5861,-0.2306,2
51.4901,-0.0442,4
51.4891,-0.0866,2
51.4948,-0.1254,30
51.5492,-0.2469,2
51.5221,-0.2015,22
51.5229,-0.1258,2
51.4892,-0.2819,2
51.5194,-0.1566,2
51.4622,-0.0913,2
51.5384,-0.4727,2
51.5284,0.103,2
51.4838,-0.0317,2
51.5584,0.2501,2
51.4706,-0.2019,2
51.5162,-0.4197,4
51.5019,-0.2288,22
51.5415,0.003,20
51.536,-0.1576,2
51.4661,-0.2381,2
51.522,-0.1364,20
51.4342,0.1199,2
51.4957,-0.1009,2
51.5078,-0.4729,2
51.5264,-0.3526,2
51.4682,-0.1442,200
51.5039,-0.0965,2
51.4063,-0.3405,2
51.5205,-0.1591,22
51.5775,-0.1467,22
51.6042,0.0941,2
51.4997,-0.2358,2
51.5679,-0.0612,2
51.5467,-0.0551,2
51.4796,0.0323,2
51.4619,-0.1118,2
51.567,-0.0608,2
51.5229,-0.0156,2
51.5084,-0.1516,20
51.4516,-0.3179,2
51.4842,-0.1612,2
51.5481,-0.0062,2
51.5424,-0.1413,20
51.5711,0.1298,20
51.4529,-0.0612,2
51.4854,-0.1053,2
51.6052,-0.0783,2
51.4786,-0.0625,2
51.5007,-0.089,2
51.4502,-0.0324,2
51.5584,-0.0745,2
51.4057,-0.3082,2
51.3986,-0.0163,2
51.5161,-0.1874,2
51.3901,0.1165,2
51.5279,-0.0514,2
51.4741,-0.0913,2
51.5398,-0.2576,2
51.5358,-0.1009,2
51.4776,-0.0587,2
51.4908,-0.1112,2
51.6024,0.0066,2
51.5494,-0.0599,20
51.5299,-0.0835,20
51.4484,-0.1023,4
51.442,-0.0576,2
51.5224,-0.0553,20
51.5382,-0.142,2
51.497,-0.0511,4
51.4622,-0.2218,2
51.5357,-0.0296,2
51.5142,-0.1615,2
51.5058,-0.131,22
51.4147,0.0809,2
51.5954,-0.0689,2
51.4801,-0.0942,2
51.5978,-0.1212,2
51.4122,0.1125,2
51.4923,-0.0932,2
51.5177,0.0789,20
51.4354,-0.3114,2
51.5575,-0.1306,2
51.4762,-0.3249,2
51.4748,-0.2413,2
51.4263,-0.3347,2
51.5604,-0.1153,22
51.5045,-0.0123,2
51.4888,-0.4356,20
51.4911,-0.0885,2
51.4401,-0.1258,2
51.5039,-0.0246,2
51.4687,-0.3473,2
51.5311,-0.2479,20
51.4812,-0.1384,20
51.4877,-0.0753,2
51.4658,0.0091,2
51.5257,-0.1441,2
51.4284,-0.2131,2
51.5493,-0.0915,2
51.5178,-0.0431,2
51.5395,-0.0768,4
51.591,-0.1649,2
51.5976,-0.2639,4
51.4498,-0.017,2
51.5183,-0.2914,20
51.4762,-0.0227,20
51.5777,0.1901,2
51.5276,-0.0216,2
51.4252,-0.1399,2
51.5346,-0.1381,2
51.5023,-0.1871,2
51.4869,-0.1701,24
51.5284,-0.1814,10
51.5119,-0.1202,4
51.5602,-0.0918,4
51.4872,-0.0136,2
51.526,-0.0878,2
51.4933,0.0092,2
51.4925,-0.0668,2
51.5097,-0.1185,22
51.483,0.077,2
51.5087,-0.0295,2
51.4682,-0.1905,2
51.5409,0.1481,20
51.5248,-0.1484,2
51.5659,-0.1348,2
51.5159,-0.1362,20
51.4907,-0.2236,2
51.5215,-0.1135,26
51.5243,-0.0954,2
51.4607,-0.1158,2
51.5068,-0.2459,2
51.4802,-0.1921,24
51.5364,0.035,20
51.5198,-0.1255,2
51.5561,-0.1172,2
51.4828,-0.1706,2
51.4905,0.0397,2
51.5197,-0.0673,2
51.3642,-0.0967,2
51.4803,-0.1857,4
51.5433,-0.2951,2
51.4812,-0.1382,20
51.4654,-0.0182,2
51.564,-0.0075,2
51.423,-0.0632,4
51.5111,-0.0144,2
51.5714,-0.4342,2
